aaa1,AAA,acacia resources limited
aab1,AAB,absolute return fund (the)
aac1,AAC,australian asiatic corporation limited
aac2,AAC,australian agricultural company limited.
aad1,AAD,aapc limited.
aad1,AAL,aapc limited
aad1,QPC,quality pacific corporation limited
aag1,AAG,australian agricultural company limited
aag2,AAG,aragon resources limited
aal1,AAL,apac coal limited
aam1,AAM,a1 minerals limited
aan2,AAN,alinta limited
aan2,AAN,alinta mergeco limited
aao1,AAO,australasia gold limited
aap1,AAP,aapt limited
aaq1,AAQ,australis aquaculture limited
aar1,AAR,anglo australian resources nl
aat1,AAT,australasian technology corporation limited
aat1,AAT,autron corporation limited
aat1,PCH,pacific communications holdings limited
aau1,AAU,adcorp australia limited
aav1,AAV,australian authorised investments limited
aav1,BOI,borillar investment limited
aav1,IPW,ipworld limited
aax1,AAX,ausenco limited
aba1,ABA,advance bank australia limited
abb1,ABB,abb grain limited
abc1,ABC,adelaide brighton cement holdings limited
abc1,ABC,adelaide brighton limited
abd1,ABD,airboss limited
abd1,ATK,altrack limited
abd1,SPH,sphere investments limited
abf1,ABF,aberfoyle limited
abg1,ABG,abigroup limited
abj1,ABJ,australian biodiesel group limited
abk1,ABK,asset backed holdings limited
abk1,ABK,asset backed securities limited
abk1,CII,ci resources limited
abn1,ABN,abednego nickel limited
abn1,CWR,coolawin resources limited
abn1,MGS,morgans gold mines limited
abp1,ABP,abacus property group
abq1,ABQ,allied brands limited
abr1,ABR,abador gold limited
abr1,ABR,abador gold nl
abr1,ERJ,enerji ltd
abr1,EUR,euraust ltd
abr1,MYC,my casino limited
abr1,NSA,norwood systems ltd
abr1,TJR,tanjung resources n.l.
abs2,ABS,a.b.c. learning centres limited
abt1,ABT,apollo batteries limited
abt1,OTI,oriental technologies investment limited
abw1,ABW,aurora buy-write income trust
abx2,ABX,abelle limited
aby1,ABY,aditya birla minerals limited
acb2,ACB,a-cap resources limited
ace3,ACE,advanced engine components limited
acf1,ACF,acumen capital property securities fund
acf1,MPF,multiplex acumen property fund
acg1,ACG,australian coal & gold holdings ltd.
acg2,ACG,atcor medical holdings limited
ach1,ACH,australian chemical holdings limited
aci1,ACI,australian international carbon limited
aci1,ATY,australian technology securities limited
aci1,GLX,gulfx limted
aci1,GLX,gulfx ltd
aci1,NHE,new horizon energy limited
aci1,SYS,syngas limited
ack1,ACK,austock group limited
acl2,ACL,alchemia limited
acm1,ACM,australian consolidated minerals ltd.
acp1,ACP,austram corporation limited
acq1,ACQ,australian consolidated equities limited
acq1,KKR,kookynie resources n.l.
acr2,ACR,acrux limited
acs1,ACS,australian consolidated press group limited
acs1,ACS,australian consolidated press limited
acs3,ACS,accent resources nl
acv1,ACV,aussiecover limited
acv1,DBS,dark blue sea limited
acw1,ACW,actinogen limited
acy1,ACY,australian commercial property trust.
acz1,ACZ,atticus resources limited
ada1,ADA,adacel technologies limited
adb1,ADB,adelaide bank limited
adb1,COB,the co-operative building society of south au
add1,ADD,aidc limited
ade1,ADE,australian diamond exploration nl
ade2,ADE,adelaide energy limited
adf1,ADF,ad sports technologies limited
adf1,ESN,entellect solutions limited
adf1,FGL,fundamental golf & leisure limited
adf1,MXE,mxl limited
adf1,MXL,mxl limited.
adf1,RGI,regency investments limited
adg1,ADG,adtrans group limited
adh1,ADH,aerodata holdings limited
adh1,AQT,aliquot asset management limited
adh1,BNE,bone medical limited
adh1,REV,revenir limited
adi1,ADI,audant investments limited
adk1,ADK,australian development capital limited
adk1,EVE,energy ventures ltd
adl2,ADL,adt limited
adm1,ADM,auridiam consolidated nl
adm1,ADM,auridiam limited
adm1,AVP,acuron limited
adm1,GCG,greencap limited
adn1,ADN,adelaide resources limited
adn1,ADN,adelaide resources nl
ado1,ADO,ando minerals n.l.
adt1,ADT,advent limited
adu1,ADU,adamus resources limited
adv1,ADV,australian development capital fund
adv1,TDC,technology development capital trust
adx1,ADX,audax resources limited
adx1,ADX,audax resources nl
ady1,ADY,associated dairies limited
adz1,ADZ,adsteam marine limited
aec1,AEC,ammtec limited
aed1,AED,aed oil limited
aee1,AEE,atlas steels limited
aee2,AEE,aura energy limited
aef1,AEF,australian ethical investment limited
aeg1,AEG,adelong capital limited
aeg1,AEG,adelong consolidated gold mines nl
aeg1,ORC,orchid capital limited
aem1,AEM,artist & entertainment group limited
aen1,AEN,australian energy limited
aeo1,AEO,austereo group limited
aep1,AEP,australian medical enterprises limited
aep1,MKG,markalinga limited
aep1,MRK,markalinga trust.
aeq1,AEQ,amalgamated equities limited
aeq2,AEP,allco equity partners limited.
aeq2,AEQ,allco equity partners limited
aes1,AES,associated electronic services limited
aes2,AES,advanced energy systems limited
aet1,AET,ausmelt limited
aev1,AEV,australian environmental resources limited
aev1,AEV,australian environmental resources nl
aev1,BWC,browns creek gold nl
aev1,MUL,multiemedia limited
aev1,MUL,multiemedia.com limited
aev1,NWT,newsat limited
aex1,AEX,acclaim exploration nl
aex1,MCN,mc mining nl
aex1,TGM,tindals gold mines nl
